target,feature_set,n_features,model,auc,sensitivity,specificity,f1,sens@90spec,sens@95spec,n_train_pos,n_train_neg,n_test_pos,n_test_neg
HYP,F4: +all_leads,22,RF,0.6913582519535745,0.12605042016806722,0.9720700985761227,0.16216216216216217,0.31092436974789917,0.16806722689075632,415,7242,119,1826
HYP,F4: +all_leads,22,GBM,0.6880401667786501,0.03361344537815126,0.9950711938663745,0.06060606060606061,0.2605042016806723,0.15126050420168066,415,7242,119,1826
HYP,F5: +R²,36,LogReg,0.7612865518606129,0.6638655462184874,0.7338444687842278,0.2309941520467836,0.3445378151260504,0.23529411764705882,415,7242,119,1826
HYP,F5: +R²,36,RF,0.7204386683479526,0.13445378151260504,0.9665936473165389,0.16326530612244897,0.31932773109243695,0.17647058823529413,415,7242,119,1826
HYP,F5: +R²,36,GBM,0.7317045109390964,0.06722689075630252,0.9950711938663745,0.11764705882352941,0.35294117647058826,0.15126050420168066,415,7242,119,1826
HYP,F6: +derived,41,LogReg,0.7618664114057452,0.6302521008403361,0.7343921139101862,0.22091310751104565,0.3445378151260504,0.24369747899159663,415,7242,119,1826
HYP,F6: +derived,41,RF,0.712444890332913,0.16806722689075632,0.9578313253012049,0.18518518518518517,0.33613445378151263,0.19327731092436976,415,7242,119,1826
HYP,F6: +derived,41,GBM,0.7278986074166797,0.03361344537815126,0.9939759036144579,0.05970149253731343,0.29411764705882354,0.15966386554621848,415,7242,119,1826
HYP,F7: +specparam,54,LogReg,0.7649037709278672,0.6218487394957983,0.7343921139101862,0.2182890855457227,0.36134453781512604,0.21008403361344538,415,7242,119,1826
HYP,F7: +specparam,54,RF,0.7265041832724327,0.15126050420168066,0.968236582694414,0.18461538461538463,0.31932773109243695,0.20168067226890757,415,7242,119,1826
HYP,F7: +specparam,54,GBM,0.7606008449381944,0.025210084033613446,0.9950711938663745,0.04580152671755725,0.33613445378151263,0.16806722689075632,415,7242,119,1826
